지역,,정류장,,,2018,,,,,,,,,,,,,,,,,,,,
,,,,,월,,,화,,,수,,,목,,,금,,,토,,,일,,
시/도,시/군/구,교통수단,ID,이름,승차,하차,합계,승차,하차,합계,승차,하차,합계,승차,하차,합계,승차,하차,합계,승차,하차,합계,승차,하차,합계
경상남도,창원시,버스,2606371,현대아파트,114,0,114,96,1,97,113,0,113,107,0,107,116,0,116,87,0,87,59,0,59
경상남도,창원시,버스,2606372,부영1차아파트,35,1,36,32,1,33,40,1,41,44,0,44,43,1,44,29,1,30,13,0,13
경상남도,창원시,버스,2606373,코아루아파트,15,0,15,23,0,23,18,0,18,20,0,20,16,0,16,11,0,11,17,1,18
경상남도,창원시,버스,2606374,웅동농협하나로마트,34,0,34,21,0,21,33,0,33,35,0,35,33,1,34,32,0,32,26,1,27
경상남도,창원시,버스,2606375,복지회관,14,1,15,19,0,19,9,1,10,16,0,16,15,0,15,19,0,19,21,0,21
경상남도,창원시,버스,2606377,용원초등학교,6,0,6,5,0,5,3,0,3,7,0,7,4,0,4,4,0,4,1,0,1
경상남도,창원시,버스,2606485,강서삼성병원,0,10,10,0,6,6,0,7,7,0,11,11,1,12,13,0,7,7,0,7,7
경상남도,창원시,버스,2606486,용원사거리,1,61,62,6,58,64,6,79,85,2,71,73,2,67,69,3,100,103,2,114,116
경상남도,창원시,버스,2606487,용원초등학교,2,4,6,0,4,4,1,3,4,3,2,5,1,5,6,2,1,3,2,4,6
경상남도,창원시,버스,2606488,용원동주민센터,0,0,0,0,2,2,1,2,3,0,1,1,1,0,1,0,1,1,1,5,6
경상남도,창원시,버스,2606489,복지회관,0,3,3,0,1,1,0,1,1,0,1,1,0,0,0,0,3,3,0,1,1
경상남도,창원시,버스,2606491,코아루아파트,1,0,1,2,2,4,1,2,3,1,3,4,1,3,4,1,1,2,0,4,4
경상남도,창원시,버스,2606492,부영1차아파트,0,2,2,0,2,2,0,1,1,0,3,3,0,3,3,0,1,1,0,0,0
경상남도,창원시,버스,2606493,현대아파트,0,3,3,0,3,3,0,1,1,0,3,3,0,2,2,0,1,1,0,1,1
경상남도,창원시,버스,2606494,부영3차아파트,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0
경상남도,창원시,버스,2606495,해인로즈빌아파트,0,0,0,0,1,1,0,1,1,0,2,2,0,2,2,0,2,2,0,1,1
